Time,Voltage
485,-3.455911E-02
486,-3.644024E-02
487,-3.778164E-02
488,-3.922048E-02
489,-4.143339E-02
490,-4.507767E-02
491,-5.072913E-02
492,-5.882318E-02
493,-6.960263E-02
494,-8.307844E-02
495,-9.900563E-02
496,-.1168787
497,-.1359464
498,-.1552474
499,-.1736632
500,-.1899862
501,-.2029984
502,-.2115552
503,-.2146673
504,-.2115758
505,-.2018154
506,-.1852579
507,-.1621358
508,-.1330417
509,-9.890369E-02
510,-6.093837E-02
511,-2.058357E-02
512,2.058357E-02
513,6.093837E-02
514,9.890369E-02
515,.1330417
516,.1621358
517,.1852579
518,.2018154
519,.2115758
520,.2146673
521,.2115552
522,.2029984
523,.1899862
524,.1736632
525,.1552474
526,.1359464
527,.1168787
528,9.900563E-02
529,8.307844E-02
530,6.960263E-02
531,5.882318E-02
532,5.072913E-02
533,4.507767E-02
534,4.143339E-02
535,3.922048E-02
536,3.778164E-02
537,3.644024E-02
538,3.455911E-02
539,.0315927
540,2.712799E-02
541,2.091185E-02
542,.0128629
543,3.068381E-03
544,-8.233698E-03
545,-2.068417E-02
546,-3.384135E-02
547,-4.722489E-02
548,-6.036038E-02
549,-.0728218
550,-8.426669E-02
551,-9.446315E-02
552,-.1033048
553,-.1108143
554,-.117135
555,-.1225123
556,-.1272662
557,-.1317584
558,-.1363575
559,-.1414039
560,-.1471798
561,-.1538854
562,-.1616227
563,-.1703901
564,-.1800861
565,-.1905219
566,-.201442
567,-.2125503
568,-.2235387
569,-.2341163
570,-.2440355
571,-.2531143
572,-.2612505
573,-.2684291
574,-.2747213
575,-.2802744
576,-.285297
577,-.2900362
578,-.2947543
579,-.2997034
580,-.3051017
581,-.3111138
582,-.3178368
583,-.3252925
584,-.3334273
585,-.3421189
586,-.3511893
587,-.3604233
588,-.3695898
589,-.3784634
590,-.3868459
591,-.3945848
592,-.4015873
593,-.407827
594,-.4133459
595,-.418249
596,-.422694
597,-.4268741
598,-.4310009
599,-.4352827
600,-.4399064
601,-.445019
602,-.4507149
603,-.4570285
604,-.4639319
605,-.4713379
606,-.4791107
607,-.4870785
608,-.4950524
609,-.5028427
610,-.5102794
611,-.5172261
612,-.523596
613,-.5293565
614,-.5345343
615,-.5392115
616,-.5435171
617,-.5476151
618,-.551688
619,-.5559193
620,-.5604776
621,-.565497
622,-.5710689
623,-.5772309
624,-.5839636
625,-.5911945
626,-.5988038
627,-.6066359
628,-.6145163
629,-.6222661
630,-.6297206
631,-.6367449
632,-.643246
633,-.6491821
634,-.6545662
635,-.6594651
636,-.6639922
637,-.6682968
638,-.6725498
639,-.6769274
640,-.6815922
641,-.6866797
642,-.6922829
643,-.6984453
644,-.7051532
645,-.7123386
646,-.7198847
647,-.7276373
648,-.7354175
649,-.7430406
650,-.7503331
651,-.7571494
652,-.7633879
653,-.7690001
654,-.7739981
655,-.7784538
656,-.7824939
657,-.7862902
658,-.7900422
659,-.7939616
660,-.7982488
661,-.803076
662,-.8085667
663,-.8147814
664,-.821709
665,-.8292598
666,-.8372704
667,-.8455094
668,-.8536943
669,-.8615067
670,-.868616
671,-.8747035
672,-.8794841
673,-.8827282
674,-.8842782
675,-.8840636
676,-.8821035
677,-.8785101
678,-.8734811
679,-.8672875
680,-.8602582
681,-.8527569
682,-.8451632
